time_ms,cpu_usage,queue_length,active_workers
1,10,0,1
12,10,0,1
23,10,0,1
34,20,0,2
49,30,0,3
59,30,0,3
69,40,0,4
80,40,0,4
92,50,0,5
104,50,0,5
115,60,0,6
126,60,0,6
138,60,1,6
148,100,0,7
159,100,1,7
172,140,0,8
183,140,1,8
194,140,1,8
206,170,1,8
219,170,1,8
232,170,2,8
243,170,1,8
254,170,1,8
267,170,1,8
278,170,1,8
290,170,1,8
301,170,1,8
312,170,2,8
323,170,1,8
335,170,1,8
345,140,1,8
357,140,2,8
369,100,2,7
380,110,1,8
391,110,2,8
402,110,2,8
412,110,2,8
425,110,2,8
436,110,3,8
447,140,2,8
459,170,2,8
472,170,1,8
483,170,2,8
494,170,1,8
504,170,2,8
515,170,1,8
526,170,2,8
537,170,2,8
551,170,2,8
562,170,2,8
573,170,2,8
585,170,2,8
595,170,3,8
605,170,3,8
618,140,3,8
629,140,3,8
641,140,4,8
652,110,3,8
663,110,2,8
676,110,3,8
687,140,3,8
697,170,2,8
709,170,2,8
720,170,2,8
733,170,2,8
744,170,3,8
754,170,2,8
765,170,3,8
776,170,3,8
787,170,3,8
800,170,3,8
812,170,3,8
825,170,3,8
837,170,4,8
848,170,3,8
860,140,3,8
870,140,3,8
883,110,3,8
895,110,3,8
906,110,3,8
919,110,4,8
930,140,3,8
943,140,3,8
953,170,3,8
965,170,3,8
975,170,4,8
986,170,3,8
996,170,4,8
1006,170,4,8
1018,170,4,8
1031,170,4,8
1044,170,5,8
1055,170,4,8
1065,170,4,8
1078,170,4,8
1089,170,4,8
1099,170,4,8
1112,140,4,8
1123,140,4,8
1136,110,4,8
1147,110,5,8
1159,110,4,8
1170,110,5,8
1181,110,5,8
1192,140,5,8
1203,140,5,8
1216,140,6,8
1227,170,5,8
1240,170,6,8
1251,170,5,8
1262,170,6,8
1275,170,5,8
1287,170,5,8
1297,170,5,8
1309,170,5,8
1320,170,5,8
1330,170,6,8
1343,170,5,8
1356,170,6,8
1369,140,5,8
1382,140,6,8
1394,110,5,8
1405,110,6,8
1417,110,7,8
1429,110,6,8
1439,110,7,8
1452,100,6,8
1464,140,7,8
1474,170,6,8
1485,170,5,8
1497,170,6,8
1509,170,6,8
1519,170,6,8
1530,170,7,8
1541,170,6,8
1552,170,7,8
1563,170,6,8
1574,170,6,8
1586,170,7,8
1596,170,6,8
1607,170,7,8
1618,170,7,8
1629,140,7,8
1640,140,7,8
1651,140,8,8
1662,110,7,8
1673,110,6,8
1686,110,7,8
1698,140,7,8
1711,170,6,8
1721,170,7,8
1734,170,7,8
1746,170,7,8
1757,170,7,8
1769,170,7,8
1780,170,7,8
1794,170,8,8
1806,170,7,8
1824,170,8,8
1838,170,8,8
1854,170,8,8
1866,170,8,8
1891,140,7,8
1904,110,7,8
1922,110,6,8
1933,110,7,8
1951,140,7,8
1967,140,7,8
1978,170,7,8
1990,170,7,8
2001,170,8,8
2018,170,8,8
2029,170,8,8
2039,170,8,8
2051,170,8,8
2065,170,8,8
2181,170,8,8
2192,110,4,8
2202,100,3,8
2212,140,4,8
2225,140,4,8
2235,140,5,8
2246,170,4,8
2256,170,5,8
2267,170,5,8
2278,170,5,8
2289,170,5,8
2350,170,6,8
2377,170,7,8
2388,140,3,8
2401,140,4,8
2413,110,3,8
2423,110,4,8
2434,110,4,8
2445,70,5,7
2456,110,4,8
2469,110,5,8
2482,140,4,8
2493,140,5,8
2505,140,5,8
2518,140,6,8
2531,140,6,8
2543,140,7,8
2555,140,7,8
2565,140,8,8
2578,140,9,8
2588,170,4,8
2601,170,4,8
2612,170,4,8
2623,170,5,8
2633,170,5,8
2644,170,5,8
2656,140,5,8
2668,140,5,8
2683,110,5,8
2695,110,6,8
2705,110,6,8
2718,110,6,8
2730,110,7,8
