time_ms,cpu_usage,queue_length,active_workers
1,10,0,1
18,10,0,1
32,20,0,2
43,20,0,2
54,30,0,3
64,30,0,3
77,40,0,4
90,40,0,4
101,40,1,4
115,50,0,5
125,60,0,6
136,60,0,6
149,100,0,7
165,100,0,7
182,100,1,7
195,100,1,7
211,90,2,6
222,90,3,6
233,80,3,5
245,80,4,5
256,70,4,4
268,70,5,4
280,100,4,4
291,100,5,4
304,100,5,4
316,90,6,3
328,80,6,2
339,80,7,2
352,80,7,2
362,100,5,4
372,100,5,4
385,100,6,4
396,100,6,4
409,100,6,4
420,100,7,4
431,100,7,4
441,100,8,4
453,100,8,4
463,100,9,4
475,100,9,4
486,100,6,7
496,100,6,7
507,100,7,7
520,100,7,7
530,100,8,7
541,100,8,7
553,100,9,7
564,90,7,6
575,90,8,6
588,90,8,6
600,90,9,6
613,90,10,6
625,90,10,6
636,90,11,6
646,90,11,6
656,90,12,6
667,90,12,6
678,90,13,6
689,100,12,4
702,90,13,3
713,90,13,3
725,90,13,3
738,90,14,3
748,90,15,3
761,90,15,3
772,100,13,4
784,100,13,4
794,100,14,4
806,100,14,4
816,100,15,4
828,100,15,4
839,100,16,4
852,100,16,4
863,100,17,4
875,100,17,4
886,100,18,4
896,70,17,4
909,100,15,7
921,100,15,7
933,100,16,7
945,100,16,7
956,100,17,7
968,100,17,7
982,90,16,6
993,90,16,6
1004,90,17,6
1016,90,17,6
1026,90,18,6
1037,90,18,6
1048,90,19,6
1062,90,20,6
1072,90,20,6
1084,90,21,6
1094,90,21,6
1106,100,21,4
1117,90,21,3
1127,90,21,3
1139,90,22,3
1151,90,22,3
1162,90,23,3
1173,80,23,2
1183,100,21,4
1195,100,21,4
1206,100,22,4
1217,100,22,4
1228,100,23,4
1238,100,23,4
1250,100,24,4
1263,100,24,4
1273,100,25,4
1283,100,25,4
1299,100,26,4
1310,100,22,7
1320,100,23,7
1331,100,23,7
1341,100,24,7
1352,100,24,7
1368,100,25,7
1380,70,25,7
1391,90,24,6
1403,90,25,6
1415,90,25,6
1426,90,26,6
1437,90,26,6
1448,90,26,6
1460,90,27,6
1472,90,27,6
1483,90,28,6
1495,90,28,6
1619,90,29,6
1630,100,25,4
1657,100,25,4
1668,100,26,4
1678,100,26,4
1691,100,27,4
1702,100,27,4
1712,100,28,4
1751,100,28,4
1765,100,29,4
1800,100,30,4
1812,100,31,4
1823,50,28,5
1834,90,26,6
1848,90,26,6
1860,90,27,6
1875,90,28,6
1895,90,28,6
1917,90,29,6
1929,90,30,6
1940,90,30,6
1951,90,30,6
1962,90,31,6
1973,90,31,6
1986,90,32,6
1996,90,33,6
2007,90,33,6
2017,90,33,6
2028,100,33,4
2038,100,30,4
2049,100,31,4
2062,100,32,4
2092,100,32,4
2102,100,33,4
2113,100,33,4
2124,100,34,4
2134,100,35,4
2145,100,35,4
2155,100,36,4
2166,100,36,4
2177,100,36,4
2193,100,37,4
2204,100,38,4
2217,100,38,4
2230,100,39,4
2252,90,33,6
2263,90,34,6
2276,90,34,6
2286,90,35,6
2314,90,36,6
2326,90,36,6
2337,90,36,6
2349,90,37,6
2368,90,37,6
2381,90,38,6
2397,90,39,6
2410,90,39,6
2422,90,40,6
2434,90,40,6
2447,80,41,5
2458,100,37,4
2592,100,38,4
2602,100,39,4
2613,100,39,4
2624,100,40,4
2634,100,40,4
2645,100,41,4
2656,60,38,6
2666,90,36,6
2677,90,36,6
2688,90,37,6
2698,90,38,6
2709,90,38,6
2720,90,39,6
2738,90,39,6
2843,90,40,6
2854,90,40,6
2868,90,38,3
2878,100,37,4
2891,100,38,4
2903,100,38,4
2914,100,39,4
2925,100,39,4
2937,100,40,4
2948,100,40,4
2960,100,41,4
2986,100,41,4
3018,100,42,4
3034,100,43,4
3045,100,44,4
3055,100,44,4
3066,80,43,5
3078,90,39,6
3089,90,40,6
3101,90,40,6
3164,90,41,6
3175,90,42,6
3187,90,42,6
3197,90,43,6
3212,90,43,6
3235,90,44,6
3293,90,45,6
3340,100,42,4
3355,100,43,4
3367,100,44,4
3380,100,44,4
3391,100,45,4
3401,100,45,4
3412,100,46,4
3422,100,46,4
3433,100,47,4
3445,100,47,4
3455,100,48,4
3466,100,48,4
3478,100,49,4
3489,100,49,4
3499,100,50,4
3511,100,50,4
3522,90,45,6
3532,90,45,6
3549,90,46,6
3560,90,47,6
3572,90,47,6
3584,90,47,6
3596,90,48,6
3607,90,49,6
3618,90,49,6
3630,90,50,6
3641,90,50,6
3651,90,51,6
3662,90,51,6
3673,90,52,6
3683,90,52,6
3693,90,53,6
3704,90,53,6
3714,90,54,6
3725,90,51,3
3736,100,51,4
3748,100,51,4
3760,100,52,4
3772,100,52,4
3785,100,53,4
